Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
KNN,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TN,6821.0
SVM,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-TN,6851.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TN,6844.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TN,6740.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TN,6821.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-TN,6851.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6846.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6976.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6737.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6803.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6854.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,196.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,650.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,54.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,106.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,196.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,650.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,54.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,106.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FN,196.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FN,650.0
KNN,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FN,54.0
SVM,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-FN,106.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FN,196.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FN,650.0
KNN,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FN,54.0
SVM,SimpleImputer_mean,SimpleImputer_mode,KMeansSMOTE,Train-FN,106.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FN,196.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FN,650.0
KNN,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FN,54.0
SVM,SimpleImputer_mean,SimpleImputer_mode,RandomOverSampler,Train-FN,106.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FN,196.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FN,650.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FN,54.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SVMSMOTE,Train-FN,106.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,200.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,637.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,67.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-FN,118.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,0.971907696717787
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,0.9068367493191917
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,0.9922602837895944
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-Recall,0.9848072237351297
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,0.971907696717787
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,1.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,0.9068367493191917
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,0.9922602837895944
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-Recall,0.9848072237351297
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Recall,0.971907696717787
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,BorderlineSMOTE,Train-Recall,1.0
