Algorithm,ImputerNum,ImputerCat,Imbalance,Metrics,Score
KNN,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6791.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ClusterCentroids,Train-TN,6846.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TN,6833.0
DecisionTree,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TN,6987.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TN,6739.0
KNN,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TN,6804.0
SVM,KNNImptuer,SimpleImputer_mode,SMOTE,Train-TN,6841.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TN,6833.0
DecisionTree,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TN,6987.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TN,6739.0
KNN,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TN,6804.0
SVM,KNNImptuer,SimpleImputer_mode,ADASYN,Train-TN,6841.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TN,6833.0
DecisionTree,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TN,6987.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TN,6739.0
KNN,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TN,6804.0
SVM,KNNImptuer,SimpleImputer_mode,OriginalData,Train-TN,6841.0
LogisticRegression,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TN,6844.0
DecisionTree,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TN,6976.0
NaiveBayes,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TN,6735.0
KNN,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TN,6795.0
SVM,KNNImptuer,SimpleImputer_mode,ClusterCentroids,Train-TN,6836.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,187.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,642.0
KNN,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,69.0
SVM,SimpleImputer_mean,SimpleImputer_mode,SMOTE,Train-FN,91.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,187.0
DecisionTree,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,0.0
NaiveBayes,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,642.0
KNN,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,69.0
SVM,SimpleImputer_mean,SimpleImputer_mode,ADASYN,Train-FN,91.0
LogisticRegression,SimpleImputer_mean,SimpleImputer_mode,OriginalData,Train-FN,187.0
