Algorithm,Imputer,Imbalance,Metric,Score,Set,MainMetric
XGBoost,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-Kappa,100.0,Train,Kappa
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,95.13,Train,Kappa
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0,Train,Kappa
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,86.79,Train,Kappa
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,96.63,Train,Kappa
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,96.91,Train,Kappa
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0,Train,Kappa
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,96.1,Train,Kappa
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,99.7,Train,Kappa
XGBoost,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0,Train,Kappa
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,92.28,Train,Kappa
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,100.0,Train,Kappa
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,84.59,Train,Kappa
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,92.55,Train,Kappa
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,92.82,Train,Kappa
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,100.0,Train,Kappa
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,92.57,Train,Kappa
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,99.1,Train,Kappa
XGBoost,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,100.0,Train,Kappa
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.94,Train,Kappa
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0,Train,Kappa
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,85.35,Train,Kappa
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.56,Train,Kappa
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.89,Train,Kappa
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0,Train,Kappa
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.93,Train,Kappa
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,99.87,Train,Kappa
XGBoost,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0,Train,Kappa
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,93.97,Train,Kappa
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,100.0,Train,Kappa
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,86.78,Train,Kappa
KNN,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,93.76,Train,Kappa
SVM,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,95.6,Train,Kappa
RandomForest,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,100.0,Train,Kappa
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,96.02,Train,Kappa
Bagging,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,99.61,Train,Kappa
XGBoost,SimpleImputer_mean__SimpleImputer_mode,AllKNN,Train-Kappa,100.0,Train,Kappa
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,95.19,Train,Kappa
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,100.0,Train,Kappa
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,86.94,Train,Kappa
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,96.55,Train,Kappa
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,96.65,Train,Kappa
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,100.0,Train,Kappa
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,96.02,Train,Kappa
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,99.67,Train,Kappa
XGBoost,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,100.0,Train,Kappa
LogisticRegression,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,95.45,Train,Kappa
DecisionTree,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0,Train,Kappa
NaiveBayes,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,87.18,Train,Kappa
KNN,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,96.59,Train,Kappa
SVM,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,96.66,Train,Kappa
RandomForest,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0,Train,Kappa
GradientBoosting,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,96.06,Train,Kappa
Bagging,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,99.84,Train,Kappa
XGBoost,KNNImptuer__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0,Train,Kappa
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,92.24,Train,Kappa
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,100.0,Train,Kappa
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,84.64,Train,Kappa
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,92.1,Train,Kappa
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,92.7,Train,Kappa
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,100.0,Train,Kappa
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,92.66,Train,Kappa
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,99.54,Train,Kappa
XGBoost,KNNImptuer__SimpleImputer_mode,OriginalData,Train-Kappa,100.0,Train,Kappa
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.15,Train,Kappa
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0,Train,Kappa
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,85.82,Train,Kappa
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.86,Train,Kappa
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,98.02,Train,Kappa
RandomForest,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0,Train,Kappa
