Algorithm,Imputer,Imbalance,Metric,Score
KNN,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FP,17800.0
SVM,SimpleImputer_mean_SimpleImputer_mode,SMOTE,Train-FP,13600.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FP,14700.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FP,0.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FP,24700.0
KNN,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FP,17800.0
SVM,SimpleImputer_mean_SimpleImputer_mode,ADASYN,Train-FP,13600.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FP,14700.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FP,0.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FP,24700.0
KNN,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FP,17800.0
SVM,SimpleImputer_mean_SimpleImputer_mode,OriginalData,Train-FP,13600.0
LogisticRegression,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FP,13500.0
DecisionTree,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FP,0.0
NaiveBayes,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FP,23800.0
KNN,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FP,17800.0
SVM,SimpleImputer_mean_SimpleImputer_mode,ClusterCentroids,Train-FP,12900.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FP,14700.0
DecisionTree,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FP,0.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FP,24700.0
KNN,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FP,17800.0
SVM,KNNImptuer_SimpleImputer_mode,SMOTE,Train-FP,14800.0
LogisticRegression,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FP,14700.0
DecisionTree,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FP,0.0
NaiveBayes,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FP,24700.0
KNN,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FP,17800.0
SVM,KNNImptuer_SimpleImputer_mode,ADASYN,Train-FP,14800.0
