Algorithm,Imputer,Imbalance,Metric,Score
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,96.32
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,96.45
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,96.28
Bagging,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-Kappa,99.77
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,92.28
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,84.59
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,92.55
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,92.82
RandomForest,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,92.57
Bagging,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-Kappa,99.54
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,96.68
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,85.43
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,95.26
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,97.71
RandomForest,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,98.02
Bagging,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-Kappa,99.91
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,95.24
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,87.32
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,96.48
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,96.71
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,100.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,96.05
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-Kappa,99.57
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,95.06
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,100.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,87.14
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-Kappa,96.53
