Algorithm,Imputer,Imbalance,Metric,Score
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,1816.0
KNN,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,1974.0
SVM,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,1985.0
RandomForest,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,1998.0
GradientBoosting,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,1969.0
Bagging,SimpleImputer_mean__SimpleImputer_mode,MWMOTE,Train-TP,1993.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,1961.0
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,2005.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,1845.0
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,1986.0
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,1990.0
RandomForest,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,2005.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,1975.0
Bagging,KNNImptuer__SimpleImputer_mode,SMOTE,Train-TP,1997.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,1961.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,2005.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,1845.0
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,1986.0
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,1990.0
RandomForest,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,2005.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,1975.0
Bagging,KNNImptuer__SimpleImputer_mode,ADASYN,Train-TP,2002.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,1961.0
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2005.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,1845.0
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,1986.0
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,1990.0
RandomForest,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,2005.0
GradientBoosting,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,1975.0
Bagging,KNNImptuer__SimpleImputer_mode,OriginalData,Train-TP,1992.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TP,1954.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TP,1998.0
