Algorithm,Imputer,Imbalance,Metric,Score
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TP,6786.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TP,6988.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TP,6388.0
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TP,6930.0
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-TP,6882.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FP,147.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FP,0.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FP,248.0
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FP,188.0
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-FP,143.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FP,147.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FP,0.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FP,248.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FP,188.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-FP,143.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FP,147.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FP,0.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FP,248.0
KNN,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FP,188.0
SVM,SimpleImputer_mean__SimpleImputer_mode,OriginalData,Train-FP,143.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FP,125.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FP,0.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FP,240.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FP,193.0
SVM,SimpleImputer_mean__SimpleImputer_mode,ClusterCentroids,Train-FP,130.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FP,151.0
DecisionTree,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FP,0.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FP,246.0
KNN,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FP,183.0
SVM,KNNImptuer__SimpleImputer_mode,SMOTE,Train-FP,145.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FP,151.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FP,0.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FP,246.0
KNN,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FP,183.0
SVM,KNNImptuer__SimpleImputer_mode,ADASYN,Train-FP,145.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FP,151.0
DecisionTree,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FP,0.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FP,246.0
KNN,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FP,183.0
SVM,KNNImptuer__SimpleImputer_mode,OriginalData,Train-FP,145.0
LogisticRegression,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FP,127.0
DecisionTree,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FP,0.0
NaiveBayes,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FP,240.0
KNN,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FP,180.0
SVM,KNNImptuer__SimpleImputer_mode,ClusterCentroids,Train-FP,128.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TN,6840.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TN,6739.0
KNN,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TN,6799.0
SVM,SimpleImputer_mean__SimpleImputer_mode,SMOTE,Train-TN,6844.0
LogisticRegression,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TN,6840.0
DecisionTree,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TN,6987.0
NaiveBayes,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TN,6739.0
KNN,SimpleImputer_mean__SimpleImputer_mode,ADASYN,Train-TN,6799.0
